Book-Title,Book-Author,Publisher
Decorative Woodcarving,Jeremy Williams,Guide of Master Craftman
"Along Came a Spider (Deadtime Stories , No 3)",A. G. Cascone,Troll Communications
Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,Walker &amp; Company
Der Club der Engel.,Luis Fernando Verissimo,Droemer Knaur
Damage,Josephine Hart,Random House Inc
Shoofly Pie: A Bug Man Novel (Where Your Faith Finds a Friend),Tim Downs,Howard Publishing Company
"Der Sturz des DÃ¤dalus, oder, Eizes fÃ¼r die Eingeborenen der Fidschi-Inseln Ã¼ber den IM Judas Ischariot und den Kuddelmuddel in Deutschland seit dem Golfkrieg (KiWi)",Wolf Biermann,Kiepenheuer &amp; Witsch
The Villa,Nora Roberts,Paperback Nova Audio
Take a Look and See . . . Every Inch of Me (Healthy Beginnings),Scholastic Inc and Wyeth Lederle Vaccines,Scholastic Inc
Madam Crowl's Ghost &amp; Other Stories,S. Le Fanu,Lb May &amp; Assoc Inc
Little Altars Everywhere,Rebecca Wells,HarperTorch
Aunt Dimity Takes a Holiday,Nancy Atherton,Viking Books
The Mysterious Lands: A Naturalist Explores the Four Great Deserts of the Southwest,Ann Zwinger,University of Arizona Press
"Kato Kaelin: The Whole Truth : The Real Story of O.J., Nicole, and Kato",Marc Eliot,Harpercollins
The Concise Oxford Dictionary of Current English: Thumb Indexed,H. W. Fowler,Oxford University Press
North Dallas After Forty,Peter Gent,Random House Inc
The Velveteen Rabbit (Little Golden Book),MARGERY WILLIAMS,Golden Books
Baldur's Gate: A Novelization,Philip Athans,TSR
Night Ferry to Death (An Inspector Henry Tibbett Mystery),Patricia Moyes,Henry Holt &amp; Company
Non-Traditional Design: Innovative Approaches to Graphics (Library of Applied Design),Mike Quon,St Martins Pr
Thieves of Nir (Dragonfire Series),Morgana Rhys,Price Stern Sloan Pub (J)
Pro Football Trivia,Bob  Gill,McGraw-Hill
Sense &amp; Sensibility (Everyman's Poetry Series),Jane Austin,Everymans Library
Tales and Poetry of Edgar Allan Poe,Edgar Allan Poe,"Hungry Minds, Inc"
Love (Values to Live By),Jane Belk Moncure,Childs World
Northern Stars: The Anthology of Canadian Science Fiction,David G. Hartwell,St Martins Pr
Grammaire Francaise,Jacqueline Ollivier,Heinle &amp; Heinle Publishers
The Flounder (Helen &amp; Kurt Wolff Book),Gunter Grass,Harvest Books
The Lost Children of Wilder : The Epic Struggle to Change Foster Care,Nina Bernstein,Pantheon Books
"Disney's Pocahontas: Hello, Funny Face (Golden Look-Look Books)",Margo Lundell,Random House Childrens Books
Rip Van Winkle and Other Stories (Puffin Classics - the Essential Collection),Washington Irving,Puffin Books
TROUBLE IN TAHITI: NANCY DREW FILES #31 (The Nancy Drew Files Case 31),Carolyn Keene,Simon Pulse
Glenn Gould. Oder die Kunst der Interpretation.,Kevin Bazzana,Metzler
Deryni Rising (Chronicles of the Deryni),Katherine Kurtz,Ballantine Books
Empress of the World,Sara Ryan,Viking Juvenile
Bevor du Ja sagst,Harry MÃ?Â¼ller,HÃ?Â¤nssler
Scars and Stripes,Eugene B. McDaniel,"Harvest House Publishers, Inc."
"The Fixer, the Natural, the Assistant",Bernard Malamud,Fine Communications
Cracking the Love Code,Janet O'Neal,Wolf &amp; Madison Pub.
Perspective for Interior Designers,John Pile,Watson-Guptill Publications
Inner City Blues: A Charlotte Justice Novel,Paula L. Woods,Oneworld Publications
Wildlife,Todd Strasser,Laurel-Leaf Books
"Pillsbury One-Dish Meals Cookbook: More Than 300 Recipes for Casseroles, Skillet Dishes and Slow-Cooker Meals",The Pillsbury Co.,Clarkson N Potter Publishers
The Fire and the Fury,Anita Mills,New Amer Library
The Third Pandemic: A Novel,Pierre Ouellette,Pocket Books
Dragon and the George,Gordon R Dickson,Ballantine Books
Dancing Teepees: Poems of American Indian Youth,Virginia Driving Hawk Sneve,Holiday House
Carnations and Pinks,Pamela McGeorge,Firefly Books Ltd
The Magic of Believing,Claude M. Bristol,Pocket
"Father Of The Bride (Harlequin American Romance, No. 388)",Cathy Gillen Thacker,Harlequin
Essential Whole Earth Catalog,Point Foundation,Bantam Dell Pub Group
Cooking with Craig Claiborne and Pierre Franey,Craig Claiborne,Times Books
"Snip, Snip...Snow",Nancy Poydar,Holiday House
User Interface Design for Programmers,Joel Spolsky,APress
Life on Other Worlds: The 20th Century Extraterrestrial Life Debate,Steven J. Dick,Cambridge University Press
The Shooter,Barry Sadler,Tor Books (Mm)
El Orgullo del Espiritu,Rosemary Altea,Ediciones B
"Faraon Negro, El",Christian Jacq,Planeta
The Club,Patricia Aks,Fawcett Books
Beginner's Italian (Teach Yourself),Vittoria Bowles,NTC/Contemporary Publishing Company
Where I Stopped: Remembering Rape at Thirteen,Martha Ramsey,Putnam Pub Group
Mastering WordPerfect 5.0,Donna M Mosich,Windcrest Books
In Safekeeping,Naomi Horton,Harlequin Mills &amp; Boon Ltd
Official Slacker Handbook,Sarah Dunn,Warner Books
Shared Intimacies : Women's Sexual Experience,Lonnie Barbach,Bantam Dell Pub Group
HOUSE OF WHISPERS FEAR STREET SAGAS 2,R.L. Stine,Simon Pulse
Hawk Moon (Laurel-Leaf Books),Rob MacGregor,Laurel-Leaf Books
Life by the Numbers,Keith  Devlin,Wiley
"Love On Call (Silhouette Special Edition, 1594)",Shirley Hailstock,Silhouette
Curses!,Aaron Elkins,Warner Books (Mm)
"Two Old Women : An Alaska Legend of Betrayal, Courage and Survival",Velma Wallis,Perennial
Seeteufel. Abenteuer aus meinem Leben.,Felix Graf von Luckner,Ullstein Tb
Little Bear's New Friend (Little Animal Adventures),Muriel Pepin,Simon &amp; Schuster Merchandise &amp;
Passing into Light,Sharon Ewell Foster,Multnomah Publishers
The God of Ordinary People,Sean Caulfield,Sheed and Ward
The Kingdom of the Cults,Walter Martin,Bethany House Publishers
"Silent Storm (Harlequin Intrigue, No. 759)",Amanda Stevens,Harlequin
Windows XP All-in-One Desk Reference for Dummies,Woody  Leonhard,For Dummies
The Promise Remains,Travis Thrasher,Tyndale House Publishers
BEN THERE DONE THAT SABRINA THE TEENAGE WITCH 6 (Sabrina The Teenage Witch),Joseph Locke,Simon Spotlight Entertainment
Das nackte Gesicht. Roman.,Sidney Sheldon,Goldmann
"Pearls of Kitchen Wisdom: Tips, Shortcuts, and Recipes from a Country Home",Deborah S. Tukua,The Lyons Press
"Presbyterians, Their History and Beliefs",Walter Lee Lingle,Westminster John Knox Press
Blaggers: Adventures Inside the Sun-Kissed but Murky World of Holiday Timeshare,Barry Ley,"Mainstream Publishing Company, Ltd."
B &amp; E,Dave Pedneau,Fawcett Books
"End of State (Political Thriller Left Behind, 1)",Neesa Hart,Tyndale House Publishers
Simply Romantic Ideas: 150 Fun and Creative Ways to Romance Your Wife,Dennis Rainey,Cook Communications Ministries intl
The McDonaldization of Society,George Ritzer,Pine Forge Press
Terrarium,Scott Russell Sanders,Tor Books
101 Things to Do With Your Computer (Usborne Computer Guides),Gillian Doherty,E.D.C. Publishing
Ondine's Curse,Steven Manners,Porcepic Books
La Cuarentena,J.M.G. Le Clezio,Tusquets
Let My People Go!,Tom Hess,Progressive Vision International
Egalia's Daughters: A Satire of the Sexes (Women in Translation),Gerd Brantenberg,Seal Press (WA)
The Factory of Facts,Luc Sante,Random House Inc
Purple Plain,Bates,Viking Press
All about Ground Covers (Ortho's All about),Ortho Books,Ortho Books
Die Namenlosen.,HansjÃ?Â¶rg Schertenleib,Aufbau Tb
"Make - Believe Marriage (Harlequin Romance, No 3370)",Renee Roszel,Harlequin
1001 Cookie Recipes,Gregg R. Gillespie,Black Dog &amp; Leventhal Publishers
"SONGS OF THE DOOMED : SONGS OF THE DOOMED (Thompson, Hunter S. Gonzo Papers, V. 3.)",Hunter S. Thompson,Pocket
"Encyclopedia Divine, Fey Magic: Dreaming the Reverie",Chad Brunner,Mongoose Publishing
Roy Lichtenstein (Basic Series),Janis Hendrickson,Benedikt Taschen Verlag
"Bride On The Run (Silhouette Intimate Moments, No 516)",Richard Harris,Silhouette
Landry News,Andrew Clements,Simon &amp; Schuster Children's Publishing
A Visit to the Big House,Oliver Butterworth,Houghton Mifflin Company
Amelia Bedelia,Peggy Parish,Scholastic Inc.
Remember the Morning,Thomas Fleming,Forge
Menace sur Internet: Des groupes subversifs et terroristes sur le Net,GrÃ©gory Destouche,Michalon
Gateway,Frederik Pohl,Ballantine Books
Scuba diver's guide to underwater ventures,Judy Gail May,Stackpole Books
An Honorable Man,Rosemary Rogers,Mira
The Average Human: A Novel,Ellen Toby-Potter,MacAdam/Cage Publishing
Ralph S. Mouse,Beverly Cleary,Yearling Books
Not Really the Prisoner of Zenda: A Guardians of the Flame Novel,Joel Rosenberg,Tor Books
The 360 Degree Brand in Asia: Creating More Effective Marketing Communications,Mark  Blair,John Wiley &amp; Sons
LA Vie Sexuelle De Catherine M.,Catherine Millet,Distribooks Inc
EinfÃ?Â¼hrung in die Psycho- Onkologie.,Fritz Meerwein,"Huber, Bern"
"Through a Universe Darkly: A Cosmic Tale of Ancient Ethers, Dark Matter, and the Fate of the Universe",Marcia Bartusiak,HarperCollins Publishers
Inside Benchley,Robert Benchley,Amereon Ltd
The Norton Anthology of English Literature (Norton Anthology of English Literature (Hardcover)),M.H. Abrams,W.W. Norton &amp; Company Ltd
Rueful Death: A China Bayles Mystery,Susan Wittig Albert,Berkley Publishing Group
The Second World War,John Keegan,Penguin USA
Pocahontas Play a Sound,Walt Disney Productions,Publications International Ltd
Exile: Book IV of Daily Lives in Nghsi-Altai (His Daily Lives in Nghsi-Altai; Book 4),Robert Nichols,New Directions Publishing Corporation
Castle Malindine,Hilary Ford,Harper &amp; Row
Zig-zag: Roman (Collection Points. SÃ©rie Point-virgule),Alain Cahen,Seuil
Gene Roddenberry: The Myth and the Man Behind Star Trek,Joel Engel,Hyperion Books
Guards! Guards (A Discworld Novel),Terry Pratchett,Sterling Pub Co Inc
Bob Vila's Guide to Buying Your Dream House (Bob Vila's Guide to Buying Your Dream House),Bob Vila,"Little, Brown"
The Words of My Perfect Teacher/Kunzang Lama'i Shelung (Sacred Literature),Patrul Rinpoche,HarperCollins
Magic of the Black Mirror,Ruth Chew,Scholastic Paperbacks (Mm)
The Crimson Spell (Charmed),F. Goldsborough,Simon Spotlight Entertainment
Jayber Crow: A Novel,Wendell Berry,Counterpoint Press
Stretching Lessons: The Daring that Starts from Within,Sue Bender,HarperSanFrancisco
Beyond the Shadows,Robin Lee Hatcher,Tyndale House Publishers
Always a McBride  (Those Marrying McBrides!),Linda Turner,Silhouette
How Good Do We Have to Be?: A New Understanding of Guilt and Forgiveness,Harold S. Kushner,Little Brown &amp; Co
Rebel Heart,Lauren Wilde,Kensington Mass Market
The complete patter,Michael Munro,Birlinn
The British Battle-Fleet: Its Inception and Growth Throughout the Centuries (Conway Classics),Fred T. Jane,Conway Maritime Press
Prince Charles: Horseman,Michael Clayton,S. Paul
Unspeakable Acts,Jan Hollingsworth,McGraw-Hill
Film Scenes for Actors,Joshua Karton,Bantam Books
Serpent's Tooth: A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman,William Morrow &amp; Company
Night Fires (Zebra Splendor Historical Romances),Linda Cook,Zebra Books
Moby Dick (Troll Illustrated Classics),Gary Gianni,Troll Communications Llc
Legacy of the Dead: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries (Hardcover)),Charles Todd,Bantam Books
My Life with the Wave,Catherine Cowan,HarperCollins
Author Author,David Lodge,Viking Books
"Wife Worth Waiting For (This Side Of Heaven) (This Side of Heaven, Vol 3)",Arlene James,Silhouette
Cameo Lake,Susan Wilson,Pocket
Never Kissed Goodnight,Edie Claire,Signet Book
Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,HarperBusiness
The Words of Gandhi,Gandhi,Newmarket Press
Are We Alone?: Philosophical Implications of the Discovery of Extraterrestrial Life,P. C. W. Davies,HarperCollins
Guinea Pigs a Complete Introduction,Margaret Elward,TFH Publications
Surrey Street Atlas,George Philip &amp; Son,Survey
Pretend You Don't See Her,Mary Higgins Clark,Simon &amp; Schuster
Knight &amp; Day,Ron Nessen,Tor Books (Mm)
Caroline's Daughters,Alice Adams,Fawcett Books
Billy Martin,Gene Schoor,Doubleday
Running Loose,Chris Crutcher,Laure Leaf
Race Against Death: A True Story of the Far North,Seymour Reit,Dodd Mead
As for Me and My House (New Canadian Library),Sinclair Ross,New Canadian Library
Life Messages: Inspiration For The Woman's Spirit,Josephine Carlton,Andrews McMeel Publishing
Mein Weltbild.,Albert Einstein,Ullstein Buchverlage GmbH &amp; Co. KG / Ullstein Tas
Chicken Soup for the Couple's Soul (Chicken Soup for the Soul),Jack Canfield,HCI
This Life,Sidney Poitier,Ballantine Books
Customs and Traditions of the Canadian Navy,Graeme Arbuckle,Down East Books
"Blue Chip Bride (Desire, No 32)",Audra Adams,Silhouette
Nurses' Notes to God,"Marian, Wilcox",Herald Press (PA)
To Have and to Hold: How to Take Off the Weight When Marriage Puts on the Pounds,Edward Abramson,Kensington Publishing Corporation
Wonderful Wire Works: An Easy Decorative Craft,Mickey Baskett,Sterling Publishing
The Creative Book of Decorative Painting (Creative Book of Homecrafts Series),Juliet Bawden,Salamander Books
Penguin Quick Guides: Common Errors in English (Penguin Quick Guides),Paul Hancock,Penguin Longman Publishing
The beast in me and other animals;: A collection of pieces and drawings about human beings and less alarming creatures (A Harvest book),James Thurber,Harcourt Brace Jovanovich
Landscapes of Fear,I-Fu Tuan,Univ of Minnesota Pr (Tx)
Collected Stories of Charles W. Chesnutt,Charles W. Chesnutt,Signet Book
The Big Wander,Will Hobbs,HarperTrophy
HELOISE ARND HSE,Heloise,Pocket
The Science of God: The Convergence of Scientific and Biblical Wisdom,Gerald L. Schroeder,Broadway Books
Fodor's 1999 Washington D.C.. (Fodor's Gold Guides),Fodor's,Fodor's Travel Publications
Richard Briers' Green Life Directory,N. Jewell,Kingsley Media Ltd
Wages of Sin,Kate Benedict,Chimera Publishing
BrainStrains Power Puzzles: 240 Mind-Blowing Challenges,Paul Sloane,Sterling
Son of Holmes,John Lescroart,New American Library
Soul Resin,C. W. Cannon,Fiction Collective Two
Lucy,Marion Chesney,Dell Publishing Company
LA Cucina: The Complete Book of Italian Cooking,Myra Street,Smithmark Publishers
"Schade, daÃ?Â? du nicht tot bist. Ein Fall fÃ?Â¼r Mrs. Murphy.",Rita Mae Brown,Rowohlt Tb.
The Blue Widows,Jon Land,Forge
The Math of Money,Morton D. Davis,Copernicus Books
THREE STEPS TO A STRONG FAMILY,Linda &amp; richard Eyre,Simon &amp; Schuster
Camp David: Nonsense in Art,Simon Drew,Antique Collectors' Club
The Gauntlet (Oxford Children's Modern Classics),Ronald Welch,Oxford University Press
Moby Dick (Troll Illustrated Classics),Bernice Selden,Troll Communications
Mysterious (Loveswept),Fayrene Preston,Bantam Books
Your Name Here,Cris Mazza,Coffee House Press
MURDER COMES 1ST (Mr. &amp; Mrs. North Mystery),Frances Lockridge,Pocket
Conformity and Conflict: Readings in Cultural Anthropology,James P. Spradley,Addison-Wesley Pub Co
The Drum of Immortality,Hugh Fincher,Lucky Press
Two Dancers in the Desert: The Life of Charles de Foucauld,Charles Lepetit,Orbis Books
Favorite Comfort Food,Martha Stewart,Leisure Arts@ Inc
Understanding Computers: Today and Tomorrow 2002 Edition,Deborah Morley,Course Technology
My Sister Is Driving Me Crazy,Mary E. Ryan,Simon &amp; Schuster
El hombre duplicado,Jose Saramago,"Alfaguara Ediciones, S.A. (Spain)"
"How to Audition: For TV, Movies, Commercials, Plays, and Musicals (2nd Edition)",Gordon Hunt,HarperResource
Galax-arena,Gillian Rubinstein,Hyland House
On a Darkling Plain (The World of Darkness),Richard Lee Byers,White Wolf Pub
Grand Canyon National Park: A Photographic Natural Hisotry,Robert Hutchinson,Browntrout Publishers
The Soul Is Here for Its Own Joy: Sacred Poems from Many Cultures,Robert Bly,Ecco Press
"Thirty - Day Fiance (The Rulebreakers) (Silhouette Desire, 1179)",Ronnie Banks,Silhouette
The Road to Damietta,Scott O'Dell,Houghton Mifflin Co
Good News for a Change: How Everyday People are Helping the Planet,David T. Suzuki,Greystone Books
Breakfast-Time for Thomas (Thomas the Tank Engine Mini-Storybooks),W. Awdry,Random House Children's Books
Incomplete Education,Judy Jones,Ballantine Books
Little Women,Louisa May Alcott,Tor Books
My Mother's Witness: The Peggy Morgan Story,Carolyn Haines,River City Press
"Midnight Burning (Harlequin Intrigue, No. 635)",Caroline Burnes,Harlequin
A Different Kind of Healing: Doctors Speak Candidly About Their Successes With Alternative Medicine,Oscar Janiger,Putnam Pub Group
The Underground (Left Behind: The Kids #6),Jerry B. Jenkins,Tyndale House Publishers
The lie of the land: Fiction,Michael Henderson,John McIndoe Ltd
"Roses In The Night (Harlequin Romance, No 3358)",Kay Gregory,Harlequin
Songs in Ordinary Time (Oprah's Book Club (Hardcover)),Mary McGarry Morris,Viking Books
Changing Places (Harlequin American Romance),Beverly Sommers,Harlequin
The Fillyjonk Who Believed in Disasters (Creative Short Stories),Tove Jansson,Creative Education
Merriam-Webster's Spanish-English Dictionary,Merriam-Webster,Merriam-Webster
Alice Im Wunderland: Alice in Wonderland/Alice Im Wunderland,Lewis Carroll,Deutscher Taschenbuch Verlag (DTV)
Workbook/Lab Manual t/a Pasajes: Lengua,Mary Lee  Bretz,McGraw-Hill Humanities/Social Sciences/Languages
Front Row at the White House : My Life and Times,Helen Thomas,Scribner
Head over Heels in the Dales (Dales Series),Gervase Phinn,Penguin Books
The New American Kitchen Garden,Shepherd Ogden,National Home Gardening Club
Trilogi Khadijah Hashim,Khadijah Hashim,'K' Pub
Honeymoon: A Novel,Amy Jenkins,Back Bay Books
Black Plume,David Madsen,HarperCollins Publishers
Stone Junction: An Alchemical Potboiler,Jim Dodge,Pub Group West
"Guinness Book of World Records, 1990-1991",Donald McFarlan,Bantam Books
Mammals of the Canadian wild,Adrian Forsyth,Firefly Books [distributor]
Who's a Goblin?,Dandi Daley Mackall,Landoll
AUTO INSURANCE ALERT!: WHY THE SYSTEM STINKS HOW TO FIX IT WHAT TO DO MEANTIME : Overcoming the Crisis in Manufacturing,Andrew Tobias,Fireside
Elected for Death,Valerie Wolzien,Fawcett Books
The Norton/Grove Dictionary of Women Composers,Julie Anne Sadie,W. W. Norton &amp; Company
The Book of Phoebe,Mary-Ann T. Smith,Dell Publishing Company
The Story of Noah's Ark,Jane Latourette,Concordia Publishing House
Sanctions et discipline a l ecole,Collectif,Syros la DÃ?Â©couverte
DEADLINE,John Dunning,Pocket
Annuals and Bulbs (Rodale's Successful Organic Gardening),Rob Proctor,St Martins Pr
The Official Lawyer's Handbook,D. Robert White,Simon &amp; Schuster
The Trade-Off,Sheila Lawrence,iUniverse.com
The Big Thaw,Donald Harstad,Doubleday
After Many a Summer Dies the Swan,Aldous Huxley,Ivan R. Dee Publisher
