title,genres,keywords,original_language,overview
Queen of the Mountains,Drama Action,biography,ky,"At a time when most females in Asia possess little or no power over their lives, headstrong Kurmanjan Datka defies her family's authority -- and ultimately becomes the ruler of her native Kyrgyzstan region."
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,based on novel magic good vs evil king narnia,en,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world."
Iguana,,,en,A grotesquely disfigured harpooner called Iguana is severely mistreated by his fellow sailors on a whaling ship in the 19th century. One night he escapes and takes up residence on a remote island. He makes himself ruler of the island and declares war on mankind. Anyone unfortunate enough to wind up on the island with Iguana is subjected to his cruel tyranny.
The Christmas Candle,Drama Family,angel miracle village christian candle,en,"Deep in the heart of the English countryside lies the enchanting village of Gladbury. Legend has it every 25 years an angel visits the village candlemaker and touches a single candle. Whoever lights this candle receives a miracle on Christmas Eve. But in 1890, at the dawn of the electric age, this centuries old legend may come to an end."
Lord of War,Crime Drama Thriller,cold war weapon arms dealer,en,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience."
My All American,Drama,american football biography sport championship,en,"Freddie Steinmark, an underdog on the gridiron, faces the toughest challenge of his life after leading his team to a championship season."
Amadeus,Drama History Music,italy composer opera talent musician,en,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum."
Duets,Comedy Drama Music,musical,en,"Duets is a road-trip comedy which revolves around the little known world of karaoke and the whimsical characters who inhabit it. All roads lead to Omaha, site of a national karaoke competition where this motley group of singers and stars come together for a blow-out sing-off."
Nurse 3-D,Horror Thriller,nurse sexual murder revenge lesbian relationship dark comedy,en,"Abby Russell, a beautiful, dedicated nurse with a sinister side, has a secret life in which she targets and punishes dishonest men."
Thunderball,Adventure Action Thriller,paris florida fighter pilot sanatorium secret organization,en,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.
Be Kind Rewind,Drama Comedy,camcorder videoband delusion nuclear power plant video store,en,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films."
The Best Little Whorehouse in Texas,Comedy,brothel corset crusader musical governor,en,"The town sheriff and a madame team up to stop a television evangelist from shutting down the local whorehouse, the famed ""Chicken Ranch."""
Pacific Rim,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,en,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse."
Scream 2,Horror Mystery,film festivals slaughter slasher,en,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself."
Water for Elephants,Drama Romance,clown elephant trainer veterinary,en,"In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena."
Nanny McPhee and the Big Bang,Comedy Fantasy,nanny fantasy children aftercreditsstinger duringcreditsstinger,en,"Nanny McPhee appears at the door of a harried young mother, Mrs. Isabel Green, who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons."
Housefull,Drama Comedy Romance Foreign,,hi,"Believing himself to be a jinx and bringing bad luck upon himself and others, a man attempts to find true love, but ends up in very complicated relationships."
Under the Same Moon,Drama,independent film woman director,es,"Tells the parallel stories of nine-year-old Carlitos and his mother, Rosario. In the hopes of providing a better life for her son, Rosario works illegally in the U.S. while her mother cares for Carlitos back in Mexico."
Bedtime Stories,Fantasy Comedy Family Romance,wishes come true escapade disorder imaginary miraculous event,en,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?
Robin and Marian,Action Adventure Drama Romance,england crusade robin hood king richard,en,"Whatever became of Robin Hood after his famed tale of good deeds ended? Now you can find out, in this sequel that takes place years after Robin and his merry men bested the Sheriff of Nottingham. After following Richard the Lionhearted to the crusades, Robin (Sean Connery) returns to Sherwood Forest to find things drastically changed. Audrey Hepburn plays the stalwart Marian … who's joined a nunnery!"
Our Idiot Brother,Comedy Drama,brother sister relationship sister sister relationship family clan idealist duringcreditsstinger,en,"Everybody has the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz, Miranda and Natalie, that person is their perennially upbeat brother Ned, an erstwhile organic farmer whose willingness to rely on the honesty of mankind is a less-than-optimum strategy for a tidy, trouble-free existence. Ned may be utterly lacking in common sense, but he is their brother and so, after his girlfriend dumps him and boots him off the farm, his sisters once again come to his rescue. As Liz, Miranda and Natalie each take a turn at housing Ned, their brother's unfailing commitment to honesty creates more than a few messes in their comfortable routines. But as each of their lives begins to unravel, Ned's family comes to realize that maybe, in believing and trusting the people around him, Ned isn't such an idiot after all."
The Dangerous Lives of Altar Boys,Comedy Drama,independent film,en,"A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends."
Sarah's Key,Drama War,,fr,"On the night of 16 July 1942, ten year old Sarah and her parents are being arrested and transported to the Velodrome d'Hiver in Paris where thousands of other jews are being send to get deported. Sarah however managed to lock her little brother in a closed just before the police entered their appartment.Sixty years later, Julia Jarmond, an American journalist in Paris, gets the assignment to write an article about this raid, a black page in the history of France. She starts digging archives and through Sarah's file discovers a well kept secret about her own in-laws."
Reign Over Me,Drama,confidence trauma leaving one's family childhood memory airplane,en,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.
Small Apartments,Comedy Crime,,en,"When a clumsy deadbeat accidentally kills his landlord, he must do everything in his power to hide the body, only to find that the distractions of lust, the death of his beloved brother, and a crew of misfit characters force him on a journey where a fortune awaits him."
Inside Job,Documentary,corruption capitalism globalization bank banker,en,"A film that exposes the shocking truth behind the economic crisis of 2008. The global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. Through extensive research and interviews with major financial insiders, politicians and journalists, Inside Job traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia."
Super Hybrid,Horror,,en,"Late one night, a mysterious car is brought into the Chicago police impound garage after a deadly traffic accident. The on-call mechanics soon discover the car has a mind of its own. With hundreds of horsepower and two tons of reinforced steel at its command, it's a seemingly unstoppable killing machine capable of outrunning -- and outwitting -- humans."
The Water Diviner,War Drama,istanbul australia post world war i farmer missing in action,en,"In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace."
Indie Game: The Movie,Documentary,games woman director programmers coding,en,"Indie Game: The Movie is a feature documentary about video games, their creators and the craft. The film follows the dramatic journeys of video game developers as they create and release their games to the world. The film tells the emotional story of friends Edmund McMillen &amp; Tommy Refenes, as they craft their first Xbox game: ""Super Meat Boy"". It follows Phil Fish, the creator of the highly-anticipated game: ""FEZ"". After 4 years of working in near solitude, Phil reveals his opus to the public for the first time. And, the film tells the surprising story of one of the highest-rated video games of all time:""Braid"". The film is about making video games, but at its core, it's about the creative process, and exposing yourself through your work. In short: Making fun and games is anything but fun and games."
The Believer,Drama,bomb jewry world war ii jewish life jew,en,The movie tells the story of a young Jewish man who becomes fiercely anti-Semitic.
Madagascar: Escape 2 Africa,Family Animation,africa jealousy dance hunger lion,en,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of."
Get on Up,Drama Music,biography james brown,en,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.
A Most Violent Year,Crime Drama Thriller,corruption capitalism winter american dream immigrant,en,"A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built."
She's Gotta Have It,Comedy Romance,independent film lesbian,en,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner."
The Other End of the Line,Comedy Romance,indian lead call center romantic comedy,en,An employee at an Indian call-center travels to San Francisco to be with a guy she falls for over the phone
Mission: Impossible - Rogue Nation,Action Adventure Thriller,london england spy austria villain sequel,en,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF."
Assassins,Action Adventure Crime Thriller,competition assassination cia bank cat,en,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
Kick-Ass,Action Crime,crime fighter secret identity comic book superhero murder,en,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
Fur: An Imaginary Portrait of Diane Arbus,Drama Mystery Romance,photographer biography hair werewolf hypertrichosis,en,"In 1958 New York Diane Arbus is a housewife and mother who works as an assistant to her husband, a photographer employed by her wealthy parents. Respectable though her life is, she cannot help but feel uncomfortable in her privileged world. One night, a new neighbor catches Diane's eye, and the enigmatic man inspires her to set forth on the path to discovering her own artistry."
Alex Cross,Action Thriller Crime Mystery,ex military,en,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem."
Jekyll and Hyde ... Together Again,Comedy Horror Science Fiction,double life musical jekyll and hyde,en,Dr. Jekyll (Mark Blankfield) inhales white powder and becomes an obnoxious Southern Californian.
X-Men,Adventure Action Science Fiction,mutant marvel comic superhero based on comic book superhuman,en,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers."
Love Stinks,Comedy Romance,behind the scenes spa planetarium art imitates life,en,"A movie about a relationship...that's worse than yours. Seth (Stewart), a sitcom writer-producer, meets Chelsea (Wilson), an interior decorator, at his best friend's (Bellamy) wedding. He's immediately sexually attracted to her while she's instantly attracted to his single-ness. They both ditch their wedding dates and start their own date that same night. The two become a couple, appearing very happy until after a couple of years of postponing a marriage proposal. When Chelsea realizes that Seth wants to remain single and together, she becomes quite bitter. In the next hour of the movie, the two engage in behavior that makes the War of the Roses look like child's play."
Cruel Intentions,Drama Romance Thriller,upper class sexual obsession sex bet sadistic,en,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession."
The Forest,Horror Thriller,japan forest,en,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared."
National Lampoon’s Van Wilder,Comedy Romance,male nudity female nudity sex college locker room,en,"Van Wilder has been attending college for far too many years and is scared to graduate, but Van’s father eventually realizes what is going on. When he stops paying his son's tuition fees, Van must come up with the money if he wants to stay in college, so he and his friends come up with a great fund-raising idea – throwing parties. However, when the college magazine finds out and reporter, Gwen is sent to do a story on Van Wilder, things get a little complicated."
Gulliver's Travels,Comedy,journalist forbidden love princess royal court 3d,en,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens."
Happily N'Ever After,Animation Comedy Family Fantasy Science Fiction,dwarves cinderella wolf bad mother-in-law prince,en,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort."
Very Bad Things,Comedy Crime Thriller,prostitute hotel cocaine nudity psychopath,en,"Kyle Fisher has one last night to celebrate life as a single man before marrying Laura, so he sets out to Vegas with four of his best buddies. But a drug and alcohol filled night on the town with a stripper who goes all the way, turns into a cold night in the desert with shovels when the stripper goes all the way into a body bag after dying in their bathroom. And that's just the first of the bodies to pile up before Kyle can walk down the aisle..."
X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,en,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine."
1941,Action Comedy,submarine california world war ii war ship pearl harbor,en,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA."
Soul Food,Comedy Drama,sister family relationships unity,en,"Traditional Sunday dinners at Mama Joe's (Irma P. Hall) turn sour when sisters Teri (Vanessa L. Williams), Bird (Nia Long) and Maxine (Vivica A. Fox) start bringing their problems to the dinner table in this ensemble comedy. When tragedy strikes, it's up to grandson Ahmad (Brandon Hammond) to pull the family together and put the soul back into the family's weekly gatherings. Michael Beach, Mekhi P"
Journey to the Center of the Earth,Action Science Fiction Adventure Comedy Family,volcano prehistoric dinosaur prehistoric creature 3d,en,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth."
Brick Lane,Drama,arranged marriage independent film bangladesh september 11 2001 woman director,en,"The grind of daily life as a Brick Lane Bangladessi as seen through the eyes of Nazneen (Chatterjee), who at 17 enters an arranged marriage with Chanu (Kaushik). Years later, living in east London with her family, she meets a young man Karim (Simpson)."
The Devil Inside,Thriller Horror,rome exorcism death demonic possession found footage,en,"In Italy, a woman becomes involved in a series of unauthorized exorcisms during her mission to discover what happened to her mother, who allegedly murdered three people during her own exorcism."
The Grey,Action Drama Thriller,alcohol isolation wolf wilderness forest,en,An oil drilling team struggles to survive after a plane crash strands them in the wilds of Alaska. Hunting them is a pack of wolves that sees them as intruders.
Bobby Jones: Stroke of Genius,Drama,sport,en,"The story of golf icon and legend, Bobby Jones, who retired from competition at the tender age of 28."
Big Trouble in Little China,Action Adventure Comedy Fantasy,kung fu chinatown magic mystery,en,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form."
Crash,Drama,race politics daughter installer police fall,en,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
When a Stranger Calls,Horror Thriller,babysitter death of a friend killer strange person call,en,"Far away from the site of a gruesome murder, a teenager named Jill Johnson arrives at a luxurious home for a baby-sitting job. With the children fast asleep, she settles in for what she expects to be an ordinary evening. Soon, the ringing of a phone and the frightening words of a sadistic caller turn Jill's routine experience into a night of terror."
Ace Ventura: When Nature Calls,Crime Comedy Adventure,africa indigenous human animal relationship bat,en,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
The Color Purple,Drama,prison africa southern usa rape black people,en,"An epic tale spanning forty years in the life of Celie (Whoopi Goldberg), an African-American woman living in the South who survives incredible abuse and bigotry.  After Celie's abusive father marries her off to the equally debasing ""Mister"" Albert Johnson (Danny Glover), things go from bad to worse, leaving Celie to find companionship anywhere she can.  She perseveres, holding on to her dream of one day being reunited with her sister in Africa.  Based on the novel by Alice Walker."
Fuel,Documentary Drama,energy policy consumption automobile industry independent film nature,en,"Record high oil prices, global warming, and an insatiable demand for energy: these issues define our generation. The film exposes shocking connections between the auto industry, the oil industry, and the government, while exploring alternative energies such as solar, wind, electricity, and non-food-based biofuels."
Surf's Up,Animation Comedy Family,sea world cup surfer wave surfboard,en,"Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey he discovers his talents are not all he thinks they are and he must learn to accept that their is more to surfing than fame and fortune.  Surf's Up is a 2007 American computer-animated mockumentary film produced by Sony Pictures Animation and distributed by Columbia Pictures and ImageWorks Studios. It stars the voices of Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder among others."
The Inkwell,Comedy Drama Romance,,en,The Inkwell is about a 16-year-old boy coming of age on Martha's Vineyard in the summer of 1976.
Better Luck Tomorrow,Crime Drama,,en,A group of over-achieving Asian-American high school seniors enjoy a power trip when they dip into extra-curricular criminal activities.
Gladiator,Action Drama Adventure,rome gladiator arena senate roman empire,en,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death."
Beauty Shop,Comedy Romance,,en,"You thought you'd heard it all in the barbershop, but you haven't heard anything yet - the women get their own chance to shampoo, shine, and speak their minds in Beauty Shop."
Modern Problems,Comedy,,en,"Jealous, harried air traffic controller Max Fielder, recently dumped by his girlfriend, comes into contact with nuclear waste and is granted the power of telekinesis, which he uses to not only win her back, but to gain a little revenge."
Fish Tank,Drama,dancing mother alcohol sex adultery,en,Everything changes for 15 year old Mia when her mum brings home a new boyfriend.
The Mudge Boy,Drama,chicken bullying rape of a male misfit homosexuality,en,"Duncan Mudge, mid-teens, lives apart from his rural world populated by his distant father and rough local kids. His main companionship is a chicken left after his mother's death until the neighbor's son befriends him."
Rabbit-Proof Fence,Adventure Drama Action History,child abuse sister sister relationship prosecution australia approved school ,en,"In 1931, three aboriginal girls escape after being plucked from their homes to be trained as domestic staff and set off on a trek across the Outback."
Turbulence,Action Thriller Crime,stewardess airplane shootout air marshal christmas,en,"On a flight transporting dangerous convicts, murderer Ryan Weaver manages to break free and cause complete chaos throughout the plane. As various people on board fall victim to Weaver, it is ultimately down to flight attendant Teri Halloran to keep the aircraft from crashing, with on-ground support from an air traffic controller. While Halloran struggles to pilot the plane, Weaver continues to terrorize the surviving members of the crew."
Won't Back Down,Drama,based on true story,en,"Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children"
Bullets Over Broadway,Action Comedy Thriller,lover (female) talent mafia boss author,en,"Set in 1920's New York City, this movie tells the story of idealistic young playwright David Shayne. Producer Julian Marx finally finds funding for the project from gangster Nick Valenti. The catch is that Nick's girl friend Olive Neal gets the part of a psychiatrist, and Olive is a bimbo who could never pass for a psychiatrist as well as being a dreadful actress. Agreeing to this first compromise is the first step to Broadway's complete seduction of David, who neglects longtime girl friend Ellen. Meanwhile David puts up with Warner Purcell, the leading man who is a compulsive eater, Helen Sinclair, the grand dame who wants her part jazzed up, and Cheech, Olive's interfering hitman / bodyguard. Eventually, the playwright must decide whether art or life is more important."
"Peace, Propaganda & the Promised Land",Documentary,,en,"This video shows how the foreign policy interests of American political elites-working in combination with Israeli public relations stratgies-influence US news reporting about the Middle East conflict. Combining American and British TV news clips with observations of analysts, journalists and political activists, Peace, Propaganda &amp; the Promised Land provides a brief historical overview, a striking media comparison, and an examination of factors that have distorted U.S. media coverage and, in turn, American public opinion."
Hell's Angels,Action Drama History,world war i zeppelin royal air force royal flying corps dogfight,en,"Two brothers attending Oxford enlist with the Royal Flying Corps when World War I breaks out. Roy and Monte Rutledge have very different personalities. Monte is a freewheeling womanizer, even with his brother's girlfriend Helen. He also proves to have a yellow streak when it comes to his Night Patrol duties. Roy is made of strong moral fiber and attempts to keep his brother in line. Both volunteer for an extremely risky two man bombing mission for different reasons. Monte wants to lose his cowardly reputation and Roy seeks to protect his brother. Roy loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.  Their assignment to knock out a strategic German munitions facility is a booming success, but with a squadron of fighters bearing down on them afterwards, escape seems unlikely."
Cube,Thriller Science Fiction Mystery,riddle autism claustrophobia maze prime number,en,Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.
Veronica Guerin,Drama Crime Thriller,journalism police drug scene murder drug lord,en,"In this true story, Veronica Guerin is an investigative reporter for an Irish newspaper. As the drug trade begins to bleed into the mainstream, Guerin decides to take on and expose those responsible. Beginning at the bottom with addicts, Guerin then gets in touch with John Traynor, a paranoid informant. Not without some prodding, Traynor leads her to John Gilligan, the ruthless head of the operation, who does not take kindly to Guerin's nosing."
The Wolf of Wall Street,Crime Drama Comedy,corruption sex sexuality bank humor,en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography."
Contagion,Drama Thriller Science Fiction,saving the world mutation infection terminal illness quarantine,en,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself."
Cheri,Drama Comedy Romance,,en,"A sumptuous dramatic comedy set in late 19th Century France, during the Belle Epoque, a period of social and cultural excess in European upper classes which ended only as the First World War erupted."
Stir of Echoes,Horror Mystery Thriller,secret obsession paranoia grave haunted house,en,"After being hypnotized by his sister in law, Tom Witzky begins seeing haunting visions of a girl's ghost and a mystery begins to unfold around her."
Thunderbirds,Action Adventure Comedy Family Fantasy,secret organization based on tv series golden gate bridge locker oil rig\u00a0,en,"Dangerous missions are the bread and butter of the Thunderbirds, a high-tech secret force employed by the government. Led by Jeff Tracy (Bill Paxton), the Thunderbirds are at the top of their game, but their nemesis, The Hood (Ben Kingsley), has landed on their island and is attempting a coup by using the team's rescue vehicles. He'll soon discover that the Thunderbirds won't go down."
The Snow Queen,Animation Fantasy,,ru,"The ice-cold Snow Queen wishes to turn the world into a frozen landscape, with no light, no joy, no happiness, and no free will. A young man, Kai, is rumored to be the son of a man who is the queen's only remaining threat. He is abducted and held captive in the queen's palace, and it's up to his sister, Gerda, to rescue him. Gerda journeys across an icy land, facing difficult obstacles and meeting wonderful new friends that help her in her quest to set Kai free, defeat the Snow Queen, and save the world from eternal frost."
Alien³,Science Fiction Action Horror,prison android spacecraft space marine imprisonment,en,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can."
Tango & Cash,Action Adventure Comedy,prisoner war on drugs los angeles,en,"Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret."
The Dark Hours,Horror Science Fiction Thriller,canada winter hostage olympic games cabin,en,"Dr. Samantha Goodman is a beautiful, young psychiatrist. Burnt out, she drives to the family’s winter cottage to spend time with her husband and sister. A relaxing weekend is jarringly interrupted when a terrifying and unexpected guest arrives. What follows is an extraordinary night of terror and evil mind games where escape is not an option."
The Good Thief,Crime Drama Thriller,casino monte carlo painting caper independent film,en,A compulsive gambler plans the heist of his life - a priceless collection of art from the world-class Casino Riviera in Monte Carlo.
Deuce Bigalow: Male Gigolo,Comedy,fish aquarium carnival house callboy,en,"Deuce Bigalow is a less than attractive, down on his luck aquarium cleaner. One day he wrecks the house of a gigolo and needs quick money to repair it. The only way he can make it is to become a gigolo himself, taking on an unusual mix of female clients. He encounters a couple of problems, though. He falls in love with one of his unusual clients, and a sleazy police officer is hot on his trail."
Blood Done Sign My Name,Drama Crime,,en,A drama based on the true story in which a black Vietnam-era veteran is allegedly murdered by a local white businessman who is later exonerated. The plot focuses on the role of a local high school teacher and the civil unrest that followed the acquittal.
Crooklyn,Comedy Drama,black people 1970s jazz musician stra\u00dfenkids dysfunctional family,en,"From Spike Lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s Brooklyn."
Casablanca,Drama Romance,love triangle corruption spy resistance casablanca,en,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications."
Never Again,Comedy Romance,romantic comedy,en,Two people who have pledged never to fall in love again then discover each other in a gay bar.
Volcano,Science Fiction Action Drama Thriller,subway lava volcano volcanologist los angeles,en,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles."
Wristcutters: A Love Story,Comedy Drama Fantasy Romance,independent film break-up ex-boyfriend ex-girlfriend relationship rolling a cigarette autocide,en,"Zia, distraught over breaking up with his girlfriend, decides to end it all. Unfortunately, he discovers that there is no real ending, only a run-down afterlife that is strikingly similar to his old one, just a bit worse. Discovering that his ex-girlfriend has also ""offed"" herself, he sets out on a road trip, with his Russian rocker friend, to find her. Their journey takes them through an absurd purgatory where they discover that being dead doesn't mean you have to stop livin'!"
The X Files,Mystery Science Fiction Thriller,bomb helicopter secret obsession extraterrestrial technology,en,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth."
Ride Along 2,Action Comedy,police sequel police officer brother-in-law brother-in-law relationship black men,en,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product."
Blood and Wine,Crime Drama Thriller,robbery gun fight love murder,en,"A man who has failed as a father and husband commits a heist to make money for his fledging business, but things become complicated when his wife interferes."
The Santa Clause,Fantasy Drama Comedy Family,holiday christmas party santa claus deal christmas tree,en,"Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas."
Before Midnight,Romance Drama,hotel airport hotel room greece dream,en,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
